Name,Date,Score
InternVL3-8B,2025-04-11,62.7
Gemini 1.5 Pro (0523),2024-05-23,62.2
InternVL2-Pro,2024-07-04,62.0
Nova Pro,2025-4-30,62.0
TeleMM,2024-11-18,61.4
Llama 3.2 90B,2024-09-25,60.3
NVLM-H 1.0 78B,2024-09-17,60.2
InternVL2.5-26B,2024-12-05,60.0
NVLM-D 1.0 78B,2024-09-17,59.7
Gemma3-12B,2025-03-12,59.6
Ovis2-16B,2025-03-25,59.6
Gemini 1.0 Ultra,2023-12-06,59.4
Claude 3 Opus,2024-03-05,59.4
GPT-4o mini,2024-07-18,59.4
Ovis2-8B,2025-03-25,59.0
NVILA,2024-11-20,58.7
Qwen2.5-VL 7B,2025-02-19,58.6
InternVL2-Llama3-76B,2024-07-04,58.3
RBDash V1.2,2024-08-21,57.7
InternVL3-9B,2025-04-11,57.7
Kimi-VL-A3B,2025-04-10,57.0
GPT-4V(ision) (Playground),2023-11-27,56.8
LLaVA-OneVision-72B,2024-08-06,56.8
Reka Core,2024-04-23,56.3
Gemini 1.5 Flash,2024-05-23,56.1
InternVL2.5-8B,2024-12-05,56.0
Eagle2.5-8B,2025-04-21,55.8
InternVL2-40B,2024-07-04,55.2
Aria,2024-10-10,54.9
SenseChat-Vision-0423-Preview,2024-04-23,54.6
POINTS1.5,2024-12-11,53.8
Reka Flash,2024-04-23,53.3
Claude 3 Sonnet,2024-03-05,53.1
Qwen2.5-VL 3B,2025-02-19,53.1
EVLM-KTO,2024-12-13,53.0
HPT Pro,2024-03-16,52.0
InternVL-Chat-V1.2,2024-02-22,51.6
Qwen-VL-MAX,2024-01-27,51.4
Skywork-VL,2024-05-30,51.4
InternVL2-8B,2024-07-04,51.2
DeepSeek-VL2,2024-12-13,51.1
SpaRE-7B,2025-04-29,51.0
360VL,2024-05-21,50.8
MAmmoTH-VL-8B,2024-12-08,50.8
Llama 3.2 11B,2024-09-25,50.7
BLIP3-o8B,2025-05-16,50.6
Claude 3 Haiku,2024-03-05,50.2
LlaVA-NEXT-72B,2024-01-30,49.9
MiniCPM-V 2.6,2024-08-06,49.8
Ovis1.5-Gemma2-9B,2024-06-14,49.8
Cambrian-1-34B,2024-06-27,49.7
LLaVA-OneVision-7B,2024-08-06,48.8
Gemma3-4B,2025-03-12,48.8
Ovis-Clip-Llama3-8B,2024-06-14,48.6
InternVL3-2B,2025-04-11,48.6
Adept Fuyu-Heavy,2024-01-31,48.3
LLaVA-NEXT-34B,2024-01-30,48.1
DeepSeek-VL2-Small,2024-12-13,48.0
Ovis2-4B,2025-03-25,48.0
Gemini 1.0 Pro,2023-12-06,47.9
Aquila-VL-2B,2024-10-25,47.4
Idefics3-8B-Llama3,2024-08-22,46.6
BLIP3-o4B,2025-05-16,46.6
Marco-VL-Plus,2024-03-09,46.2
Yi-VL-34B,2023-12-31,45.9
MiniCPM-Llama3-V 2.5,2024-05-20,45.8
Ovis2-2B,2025-03-25,45.3
Qwen-VL-PLUS,2023-12-15,45.2
Aya-Vision-32B,2025-05-13,45.11
Mogao-7B,2025-05-08,44.2
HPT Air,2024-03-16,44.0
InternVL2.5-2B,2024-12-05,43.6
InternVL3-1B,2025-04-11,43.4
Bunny-8B,2024-06-25,43.3
InternLM-XComposer2-VL,2024-01-22,43.0
Phi-3.5-Vision,2024-05-21,43.0
Flash-VL-2B-Dynamic,2025-05-16,42.9
Reka Edge,2024-04-23,42.8
Cambrian-1-8B,2024-06-27,42.7
MetaMorph,2024-12-19,41.8
HyViLM,2024-12-11,41.8
Bunny-4B,2024-06-25,41.4
Marco-VL,2024-01-16,41.2
OmniLMM-12B,2024-02-07,41.1
InternVL2.5-1B,2024-12-05,40.9
DeepSeek-VL2-Tiny,2024-12-13,40.7
Cambrian-1-13B,2024-06-27,40.0
SpaRE-2B,2025-04-29,40.0
Aya-Vision-8B,2025-05-13,39.9
InfiMM-Zephyr-7B,2024-01-18,39.4
Yi-VL-6B,2024-01-23,39.1
InternVL-Chat-V1.1,2024-01-24,39.1
Math-LLaVA-13B,2024-06-25,38.3
Bunny-3B,2024-02-13,38.2
LLaVA-UHD v2,2024-12-21,38.2
ILLUME,2024-12-09,38.2
SVIT,2023-12-26,38.0
MiniCPM-V,2024-02-01,37.2
MiniCPM-V 2.0,2024-04-12,37.1
LLaVA-1.5-13B,2023-11-27,36.4
Emu2-Chat,2023-12-24,36.3
LLaVA-NeXT-13B,2024-01-30,36.2
Ovis2-1B,2025-03-25,36.0
Qwen-VL-7B-Chat,2023-11-27,35.9
LLaVA-NeXT-Vicuna-7B,2024-01-30,35.8
InstructBLIP-T5-XXL,2023-11-27,35.7
BLIP-2 FLAN-T5-XXL,2023-11-27,35.4
LLaVA-NeXT-mistral-7B,2024-01-30,35.3
BLIP-2 FLAN-T5-XL,2023-11-27,34.4
SynerGen-VL,2024-12-12,34.2
HoVLE,2024-12-18,33.7
HoVLE (HD),2024-12-18,33.2
InstructBLIP-T5-XL,2023-11-27,32.9
SPHINX,2023-12-26,32.9
Olympus,2024-12-12,32.8
mPLUG-OWL2,2023-12-04,32.7
Gemini Nano2,2023-12-06,32.6
Otter,2023-11-27,32.2
CogVLM,2023-11-27,32.1
Emu3,2024-09-27,31.6
LLaMA-Adapter2-7B,2023-11-27,29.8
OpenFlamingo2-9B,2023-11-27,28.7
Adept Fuyu-8B,2023-11-27,27.9
Show-o,2024-08-22,27.4
MiniGPT4-Vicuna-13B,2023-11-27,26.8
Frequent Choice,2023-11-27,26.8
Kosmos2,2023-11-27,24.4
Random Choice,2023-11-27,22.1
Weitu-VL-1.0-15B,2024-04-01,-
